DateTime,Total,Total With Balance,Total Zero Balance,Price
2009-01-03T00:00:00.000Z,1,1,,
2009-01-04T00:00:00.000Z,1,1,,
2009-01-05T00:00:00.000Z,1,1,,
2009-01-06T00:00:00.000Z,1,1,,
2009-01-07T00:00:00.000Z,1,1,,
2009-01-08T00:00:00.000Z,1,1,,
2009-01-09T00:00:00.000Z,15,15,,
2009-01-10T00:00:00.000Z,76,76,,
2009-01-11T00:00:00.000Z,169,169,,
2009-01-12T00:00:00.000Z,270,268,2,
2009-01-13T00:00:00.000Z,393,391,2,
2009-01-14T00:00:00.000Z,523,518,5,
2009-01-15T00:00:00.000Z,655,643,12,
2009-01-16T00:00:00.000Z,765,749,16,
2009-01-17T00:00:00.000Z,874,858,16,
2009-01-18T00:00:00.000Z,982,963,19,
2009-01-19T00:00:00.000Z,1098,1063,35,
2009-01-20T00:00:00.000Z,1213,1170,43,
2009-01-21T00:00:00.000Z,1316,1271,45,
2009-01-22T00:00:00.000Z,1407,1352,55,
2009-01-23T00:00:00.000Z,1492,1428,64,
2009-01-24T00:00:00.000Z,1694,1620,74,
2009-01-25T00:00:00.000Z,1886,1811,75,
2009-01-26T00:00:00.000Z,1982,1887,95,
2009-01-27T00:00:00.000Z,2080,1982,98,
2009-01-28T00:00:00.000Z,2192,2094,98,
2009-01-29T00:00:00.000Z,2313,2203,110,
2009-01-30T00:00:00.000Z,2430,2320,110,
2009-01-31T00:00:00.000Z,2569,2439,130,
2009-02-01T00:00:00.000Z,2683,2551,132,
2009-02-02T00:00:00.000Z,2812,2679,133,
2009-02-03T00:00:00.000Z,2961,2827,134,
2009-02-04T00:00:00.000Z,3080,2946,134,
2009-02-05T00:00:00.000Z,3206,3072,134,
2009-02-06T00:00:00.000Z,3328,3194,134,
2009-02-07T00:00:00.000Z,3461,3304,157,
2009-02-08T00:00:00.000Z,3594,3436,158,
2009-02-09T00:00:00.000Z,3728,3526,202,
2009-02-10T00:00:00.000Z,3848,3646,202,
2009-02-11T00:00:00.000Z,3983,3767,216,
2009-02-12T00:00:00.000Z,4102,3886,216,
2009-02-13T00:00:00.000Z,4226,4010,216,
2009-02-14T00:00:00.000Z,4362,4146,216,
2009-02-15T00:00:00.000Z,4493,4264,229,
2009-02-16T00:00:00.000Z,4615,4356,259,
2009-02-17T00:00:00.000Z,4732,4473,259,
2009-02-18T00:00:00.000Z,4850,4591,259,
2009-02-19T00:00:00.000Z,4974,4699,275,
2009-02-20T00:00:00.000Z,5096,4821,275,
2009-02-21T00:00:00.000Z,5210,4935,275,
2009-02-22T00:00:00.000Z,5335,5049,286,
2009-02-23T00:00:00.000Z,5443,5157,286,
2009-02-24T00:00:00.000Z,5549,5263,286,
2009-02-25T00:00:00.000Z,5654,5368,286,
2009-02-26T00:00:00.000Z,5761,5475,286,
2009-02-27T00:00:00.000Z,5876,5554,322,
2009-02-28T00:00:00.000Z,5975,5646,329,
2009-03-01T00:00:00.000Z,6080,5751,329,
2009-03-02T00:00:00.000Z,6188,5859,329,
2009-03-03T00:00:00.000Z,6293,5956,337,
2009-03-04T00:00:00.000Z,6397,6036,361,
2009-03-05T00:00:00.000Z,6509,6140,369,
2009-03-06T00:00:00.000Z,6626,6257,369,
2009-03-07T00:00:00.000Z,6735,6366,369,
2009-03-08T00:00:00.000Z,6852,6457,395,
2009-03-09T00:00:00.000Z,6960,6565,395,
2009-03-10T00:00:00.000Z,7067,6672,395,
2009-03-11T00:00:00.000Z,7181,6786,395,
2009-03-12T00:00:00.000Z,7300,6902,398,
2009-03-13T00:00:00.000Z,7413,7002,411,
2009-03-14T00:00:00.000Z,7523,7112,411,
2009-03-15T00:00:00.000Z,7646,7235,411,
2009-03-16T00:00:00.000Z,7767,7308,459,
